col:000 -  blue    -  5
col:000 -  pink    -  5
col:000 -  green   -  4
col:000 -  yellow  -  3
col:000 -  red     -  3
col:000 -  black   -  3
col:000 -  purple  -  2
col:000 -  brown   -  2
col:000 -  gold    -  1
col:000 -  orange  -  1
col:000 -  violet  -  1
col:000 -  maroon  -  1
col:001 -  bob      -  3
col:001 -  sue      -  2
col:001 -  michele  -  2
col:001 -  jeff     -  2
col:001 -  joe      -  2
col:001 -  arun     -  2
col:001 -  beth     -  2
col:001 -  kim      -  2
col:001 -  hunter   -  2
col:001 -  jack     -  1
col:001 -  eric     -  1
col:001 -  bif      -  1
col:001 -  ben      -  1
col:001 -  lilian   -  1
col:001 -  natalie  -  1
col:001 -  sid      -  1
col:001 -  gary     -  1
col:001 -  bill     -  1
col:001 -  adam     -  1
col:001 -  rich     -  1
col:001 -  buck     -  1
col:002 -  az  -  7
col:002 -  tx  -  5
col:002 -  ca  -  5
col:002 -  fl  -  3
col:002 -  mi  -  2
col:002 -  il  -  2
col:002 -  ga  -  2
col:002 -  wa  -  1
col:002 -  ny  -  1
col:002 -  pa  -  1
col:002 -  mo  -  1
col:002 -  al  -  1
