 blue    -  bob      -  az  -  1
 blue    -  sue      -  tx  -  1
 blue    -  michele  -  mi  -  1
 blue    -  jack     -  az  -  1
 blue    -  jeff     -  il  -  1
 green   -  bob      -  az  -  1
 green   -  eric     -  tx  -  1
 green   -  joe      -  az  -  1
 green   -  bif      -  az  -  1
 yellow  -  arun     -  ca  -  1
 yellow  -  sue      -  tx  -  1
 yellow  -  beth     -  fl  -  1
 red     -  jeff     -  il  -  1
 red     -  michele  -  mi  -  1
 red     -  ben      -  ca  -  1
 purple  -  arun     -  ca  -  1
 purple  -  beth     -  fl  -  1
 gold    -  lilian   -  fl  -  1
 orange  -  kim      -  ca  -  1
 violet  -  natalie  -  wa  -  1
 maroon  -  hunter   -  ga  -  1
 brown   -  hunter   -  ga  -  1
 brown   -  kim      -  ca  -  1
 black   -  sid      -  ny  -  1
 black   -  gary     -  tx  -  1
 black   -  bill     -  pa  -  1
 pink    -  adam     -  mo  -  1
 pink    -  rich     -  al  -  1
 pink    -  buck     -  tx  -  1
 pink    -  joe      -  az  -  1
 pink    -  bob      -  az  -  1
